,zip-code,neighborhood-latitude,neighborhood-longitude,venue-id,venue-name,venue-distance,venue-latitude,venue-longitude,venue-category
1824,220100,53.92825999999999,27.5745222,5166f0fee4b02cc177862dd0,Златка,835,53.933637899999994,27.565628399999998,Food & Drink Shop
1825,220101,53.850789,27.606042,4e233a2922717a5245dd3e67,Парк имени Грековой,600,53.84994449999999,27.6150799,Park
1826,220101,53.850789,27.606042,4edb26262c5b50ab9f862608,Топ Спин,403,53.847499600000006,27.603471999999996,Tennis Court
1827,220101,53.850789,27.606042,56ccb284cd1009daa461bafe,речка,506,53.8507691,27.5983358,River
1828,220101,53.850789,27.606042,533fff9a498e21dbbe9753c9,Остров чистоты,632,53.8561804,27.6090988,Cosmetics Shop
1829,220101,53.850789,27.606042,5919e1a661f070164c43b9e2,"Остановка ""Серебрянка-3""",722,53.853095999999994,27.59575,Tram Station
1830,220101,53.850789,27.606042,523a798611d25df7104d5f9b,Стадион,760,53.856694700000006,27.600226,Athletics & Sports
1831,220102,53.8649277,27.6663266,5608f5a3498e86a57a1161b8,ТЦ «МОМО»,720,53.860728099999996,27.6746755,Shopping Mall
1832,220102,53.8649277,27.6663266,59a197178ad62e286c1ed511,McDonald's,825,53.859573700000006,27.6750191,Fast Food Restaurant
1833,220102,53.8649277,27.6663266,503db82fe4b009485e53b85b,Дворец детей и молодёжи «Золак»,250,53.86284129999999,27.6677708,Concert Hall
1834,220102,53.8649277,27.6663266,5c2b8359f193c0002c819135,KFC Momo,824,53.8592,27.6743,Fast Food Restaurant
1835,220102,53.8649277,27.6663266,567a5ac6498e9a318e8181d3,Фудкорт,779,53.859938199999995,27.6746597,Food Court
1836,220102,53.8649277,27.6663266,5a354e883b4e007db7adb1ca,Кафе «Papa Taco (Папа Тако)»,824,53.85957760000001,27.6750222,Mexican Restaurant
1837,220102,53.8649277,27.6663266,566c22ef498e58e748c5fada,Гиппо,758,53.8597547,27.673854600000002,Supermarket
1838,220102,53.8649277,27.6663266,56757a81498e00b4d3fddcdc,Cinnabon,746,53.860150899999994,27.674300899999995,Bakery
