,address,zip-code,lat,lng
102,"ул. Кижеватова, 80, к.1",220115,53.84474849999999,27.5342024
103,"пр. газеты «Правда», 20",220116,53.8676745,27.4839817
104,"пр. газеты «Звязда», 55",220117,53.85846549999999,27.4632588
105,"ул. Шишкина, 26",220118,53.85871599999999,27.6335995
106,"ул. Карбышева, 9, к.3",220119,53.9540306,27.6321441
107,"ул. Казинца, 120",220120,53.8426493,27.5040468
108,"ул. Петра Глебки, 2",220121,53.9089266,27.4732373
109,"ул. Богдановича, 53",220123,53.9191103,27.5650567
110,"ул. Лынькова, 59",220124,53.9290607,27.4737327
111,"ул. Гинтовта, 14",220125,53.9484225,27.6717844
112,"пр. Победителей, 21",220126,53.9110218,27.545203
113,"ул. Корженевского, 14",220127,53.8432922,27.5157416
114,"ул. Петра Глебки, 118",220128,53.9273803,27.4814039
115,"ул. Мирошниченко, 1",220131,53.958658,27.6050216
116,"ул. Бурдейного, 13",220134,53.9035861,27.4550203
117,"ул. Одинцова, 36,к.1",220136,53.9008771,27.4358275
118,"ул. Охотская, 135",220137,53.8798824,27.6690942
119,"ул. Карвата, 31 г",220138,53.912468,27.6782432
120,"ул. Притыцкого, 78",220140,53.9070955,27.4461731
121,"ул. Руссиянова, 9",220141,53.9386772,27.6846188
